iter	RMSE
0	3017392.307
1	2775373.321
2	2558042.892
3	2366862.163
4	2199145.686
5	2051412.623
6	1909852.438
7	1789028.72
8	1662299.698
9	1549661.707
10	1447038.722
11	1364471.672
12	1288917.055
13	1208547.802
14	1139047.264
15	1081025.749
16	1030048.698
17	979371.6877
18	938213.018
19	903739.1106
20	871271.3266
21	843027.7781
22	812283.3319
23	787272.9817
24	762215.6455
25	739627.5059
26	719133.1685
27	699889.9446
28	683939.7013
29	668139.2038
30	652066.5337
31	638818.2204
32	625991.9232
33	616222.6487
34	604407.242
35	596338.2413
36	588151.6409
37	577843.3741
38	568465.1244
39	556717.6913
40	548533.6997
41	541265.0699
42	534127.1684
43	527702.2338
44	523952.615
45	513676.5992
46	509009.1442
47	502846.5919
48	497470.6588
49	492215.0973
50	488826.2626
51	484174.073
52	479330.326
53	474836.9494
54	470837.239
55	468422.6467
56	464739.8417
57	460815.8799
58	453296.3291
59	451138.4435
60	449597.0893
61	446366.0442
62	439945.446
63	436192.5479
64	435042.5505
65	431375.9121
66	430224.8706
67	428284.8175
68	426327.4679
69	425126.7788
70	424557.7691
71	422070.8342
72	421563.2784
73	419921.6433
74	419222.9124
75	413923.0575
76	411098.5482
77	410142.0361
78	407948.9962
79	406105.7674
80	403173.3907
81	398667.2104
82	396688.8406
83	392859.1986
84	390851.2211
85	389554.2876
86	387561.2963
87	387360.2899
88	386998.6946
89	384657.2231
90	384367.8767
91	384212.7878
92	382393.3995
93	379671.5885
94	379179.1234
95	376244.2554
96	374657.4295
97	372664.9549
98	370995.581
99	370638.2639
100	370493.7947
101	370118.2428
102	366589.068
103	365220.7337
104	363273.3656
105	362505.6934
106	360157.3944
107	358568.0862
108	358183.9763
109	357567.1337
110	356086.3794
111	354748.1722
112	353500.5679
113	352308.6698
114	351126.2258
115	350562.8847
116	350041.8446
117	348668.5717
118	348373.5852
119	347353.2028
120	344641.799
121	342722.7607
122	341083.5944
123	339926.0497
124	339017.304
125	337360.2636
126	336970.3289
127	335793.3714
128	334272.6483
129	333975.5806
130	333440.8632
131	331930.7091
132	331594.4623
133	330629.8532
134	329459.2295
135	328411.3262
136	327280.5939
137	326116.2992
138	324804.329
139	323972.2767
140	322202.8084
141	321409.0789
142	320624.674
143	319742.6902
144	318630.2587
145	317633.6389
146	316690.8363
147	315932.8035
148	314897.3774
149	314200.6359
150	313934.0099
151	313314.9804
152	312384.8937
153	312147.8232
154	311186.6582
155	309836.1254
156	309635.2904
157	308876.2019
158	308133.0478
159	307884.9655
160	307150.3361
161	305538.2007
162	304848.1087
163	304257.2068
164	303099.8946
165	302347.6666
166	301821.7495
167	300486.0659
168	300066.5155
169	299348.4503
170	298562.9599
171	297492.4813
172	296978.0975
173	296123.8492
174	295746.6293
175	295232.2576
176	294141.9277
177	293670.3239
178	292785.3272
179	292636.1983
180	292135.1254
181	291526.0013
182	290051.244
183	289486.6782
184	289294.5561
185	288943.7327
186	288310.3613
187	287925.1285
188	287368.7397
189	286887.673
190	286424.4233
191	285854.4389
192	285465.4927
